,Incident ID,Incident Date,State,City Or County,Address,Business/Location Name,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,lat,lon
1804,2232118,2022-02-11,North Carolina,Red Springs,509 N Vance St,Red Springs High School,0,0,0,0,1,,34.815158,-79.1837649
1805,2232232,2022-02-11,Florida,Leesburg,1401 Yellow Jacket Way,Leesburg High School,0,0,0,0,1,,28.810823,-81.8778582
1806,2231880,2022-02-11,California,Bell Gardens (Cudahy),4811 Elizabeth St,Elizabeth Learning Center,0,0,0,0,1,,,
1807,2231786,2022-02-10,Tennessee,Nashville,160 Antioch Pike,Glencliff High School,0,0,0,0,1,,36.1622767,-86.7742984
1808,2231867,2022-02-10,Maryland,Baltimore,3500 Hillen Rd,Mergenthaler High School,0,0,0,0,0,,39.2908816,-76.610759
1809,2231058,2022-02-10,Pennsylvania,Middletown,215 Oberlin Rd,Middletown Middle School,0,0,0,0,0,,40.1701367,-74.8851959
1810,2231353,2022-02-10,Montana,Laurel,203 E 8th St,Laurel High School,0,0,0,0,1,,45.6691159,-108.771532
1811,2232141,2022-02-10,Virginia,Woodbridge,14000 Smoketown Rd,Gar-Field High School,0,0,0,0,1,,38.6361522,-77.26783643292558
1812,2232710,2022-02-10,Ohio,Columbus,2555 Briggs Rd,Briggs High School,0,0,0,0,1,,39.9622601,-83.0007065
1813,2230154,2022-02-09,Minnesota,Minneapolis,N Girard Ave and N 37th Ave,On School Bus,0,1,0,0,0,,44.9772995,-93.2654692
1814,2231656,2022-02-09,Georgia,East Dublin,930 Hwy 80 E,East Laurens Middle School,0,0,0,0,1,,32.5482221,-82.8718084
1815,2231884,2022-02-09,Kentucky,Hi Hat,299 Mt Raider Dr,South Floyd Elementary School,0,0,0,0,0,,37.3917681,-82.7290465
1816,2230092,2022-02-09,New York,Buffalo,1500 Elmwood Ave,McKinley High School,0,2,0,0,1,,42.8867166,-78.8783922
1817,2230403,2022-02-08,Texas,Raymondville,11932 Jones St,Lasara School,0,0,0,0,0,,26.4814565,-97.783051
1818,2229660,2022-02-08,North Carolina,Greensboro,4800 block of Chapel Ridge Dr,Public School Bus Stop,0,1,0,0,0,,36.0726355,-79.7919754
1819,2230114,2022-02-08,Alabama,Seale,4716 Old Seale Hwy,Russell County Middle School,0,0,0,0,1,,32.2973697,-85.1688255
1820,2229442,2022-02-08,Maryland,Catonsville,421 Bloomsbury Ave,Catonsville High School,0,1,0,0,2,,39.26099215,-76.74554777654639
1821,2230582,2022-02-08,Alabama,Lanett,1301 S 8th Ave,Lanett High School,0,0,0,0,1,,32.8687391,-85.1904971
1822,2230253,2022-02-08,Tennessee,Murfreesboro,802 Warrior Dr,Riverdale High School,0,0,0,0,1,,35.8460396,-86.3921096
1823,2229021,2022-02-07,Louisiana,Baton Rouge,6650 Cedar Grove Dr,Glen Oaks High School,0,0,0,0,1,,30.4494155,-91.1869659
1824,2230281,2022-02-07,California,Tracy,31400 S Koster Rd,Delta Charter High School,0,0,0,0,1,,37.7385507,-121.4201395
1825,2230135,2022-02-07,California,Hercules,1900 Refugio Valley Rd,Hercules High School,0,0,0,0,2,,38.0171441,-122.2885808
1826,2236026,2022-02-07,Mississippi,Columbus,2920 New Hope Rd,New Hope High School,0,0,0,0,1,,33.4956744,-88.4272627
1827,2229432,2022-02-07,New York,Jamestown,301 Cole Ave,Fletcher Elementary School,0,0,0,0,0,,42.0965167,-79.2380322
1828,2229050,2022-02-07,Kentucky,Versailles,100 School House Rd,Woodford County Middle School,0,0,0,0,1,,38.052576,-84.7299464
1829,2232847,2022-02-05,North Carolina,Troy,770 Glenn Rd,Montgomery Central High School,0,0,0,0,0,,35.3584743,-79.8944901
1830,2227008,2022-02-04,Alabama,Birmingham,2800 Wilson Rd SW,Wenonah High School,0,1,0,0,0,,33.5206824,-86.8024326
1831,2227030,2022-02-03,Georgia,Decatur,2863 Kelley Chapel Rd,Southwest DeKalb High School,0,0,0,1,0,,30.8736613,-84.5740953
1832,2235911,2022-02-03,Virginia,South Boston,1 High School Cir,Halifax County High School,0,0,0,0,2,,36.6987494,-78.9013987
1833,2234020,2022-02-02,Louisiana,Monroe,2939 Renwick St,Carroll High School,0,0,0,0,1,,32.5102427,-92.1032411
1834,2230238,2022-02-02,South Carolina,Chester,1330 J.A. Cochran Bypass,Chester High School,0,0,0,0,1,,34.6859896,-81.1545073
1835,2225933,2022-02-02,Washington,Lakewood,11023 Gravelly Lake Dr SW,Clover Park High School,0,0,0,0,1,,47.1717649,-122.518458
1836,2225828,2022-02-02,Virginia,Richmond,2101 Pump Rd,Mills Godwin High School,0,0,0,0,1,,37.5385087,-77.43428
1837,2225531,2022-02-02,Arizona,Tucson,350 S Harrison Rd,Rollin T Gridley Middle School,0,0,0,0,0,,32.2228765,-110.974847
1838,2224372,2022-02-01,Pennsylvania,Sharon Hill,300 Calcon Hook Rd,Academy Park High School,0,0,0,0,1,,39.9063027,-75.2721402
1839,2225283,2022-02-01,Georgia,Conyers,2400 Granade Rd SW,Heritage High School,0,0,0,0,1,,33.6676103,-84.0176904
1840,2224245,2022-02-01,Virginia,Bridgewater,403 E College St,Bridgewater College / Flory Hall,2,0,0,1,1,,38.3820655,-78.9766975
1841,2226643,2022-02-01,Nevada,Sparks,2200 Primio Way,Moss Elementary School,0,0,0,0,0,,39.5404679,-119.7487235
1842,2224788,2022-02-01,Wisconsin,Milwaukee,1801 W Olive St,Rufus King High School,0,5,0,0,1,,43.0349931,-87.922497
1843,2224712,2022-02-01,Virginia,Richmond,302 Azalea Ave,Henrico High School,0,0,0,0,1,,37.5385087,-77.43428
1844,2224205,2022-02-01,Minnesota,Minneapolis (Richfield),7450 Penn Ave S,South Education Center,1,2,0,0,2,,44.8847698,-93.25062815419295
1845,2225407,2022-01-31,North Carolina,Elizabeth City,1064 Northside Rd,Pasquotank County High School,0,0,0,0,0,,36.2956836,-76.2247697
1846,2231159,2022-01-31,Illinois,Kankakee,2111 E Crestwood St,Kankakee Junior High School,0,0,0,0,1,,41.1253903,-87.848682
1847,2225263,2022-01-31,Colorado,Fruita,1102 Wildcat Ave,Fruita Monument High School,0,0,0,0,1,,39.1588697,-108.728988
1848,2225915,2022-01-31,Pennsylvania,Washington,50 Scenic Dr,Trinity Middle School,0,0,0,0,1,,40.1943798,-80.2541251
1849,2227709,2022-01-31,Ohio,Columbus,1160 Ann St,South High School,0,0,0,0,0,,39.9622601,-83.0007065
1850,2223934,2022-01-31,Kentucky,Louisville,4001 Herman St,Acadamy @ Shawnee,0,0,0,0,1,,38.2542376,-85.759407
1851,2222746,2022-01-29,Wisconsin,Beloit,1225 4th St,Beloit Memorial High School,1,0,0,0,1,,42.5083272,-89.031784
1852,2222388,2022-01-29,Indiana,Indianapolis,5401 W 71st St,Pike High School,0,0,0,0,1,,39.7683331,-86.1583502
1853,2222122,2022-01-28,North Carolina,Lumberton,3901 Fayetteville Rd,Lumberton High School,0,0,0,0,1,,34.6183433,-79.0083993
1854,2221844,2022-01-28,Texas,Royse City,700 FM 2642,Royse City HS,0,0,0,0,1,,32.9761045,-96.331334
1855,2222316,2022-01-28,Texas,Austin,7309 Lazy Creek Dr,Lyndon B Johnson HS,0,0,0,0,2,,30.2711286,-97.7436995
1856,2226624,2022-01-28,Nevada,Reno,1331 E Plumb Ln,Earl Wooster High School,0,0,0,0,1,,39.5261206,-119.8126581
1857,2222449,2022-01-28,Georgia,Augusta,2530 Wheeless Rd,Wheeless Road Elementary School,0,0,0,0,1,,33.4709714,-81.9748429
1858,2222261,2022-01-28,Oklahoma,Oklahoma City (Midwest City),213 Elm St,Midwest City High School,0,0,0,0,1,,35.4487753,-97.3810246
1859,2223798,2022-01-27,Tennessee,Clarksville,241 E Pine Mountain Rd,Kenwood Middle School,0,0,0,0,1,,36.5277607,-87.3588703
1860,2221413,2022-01-27,Kentucky,Louisville,5901 Greenwood Rd,Pleasure Ridge Park High School,0,0,0,0,0,,38.2542376,-85.759407
1861,2221403,2022-01-27,California,Porterville,465 W Olive Ave,Porterville High School,0,0,0,0,1,,36.06523,-119.0167679
1862,2221385,2022-01-27,Florida,Lake Mary,655 Longwood Lake Mary Rd,Lake Mary High School,0,0,0,0,1,,28.7562749,-81.322093
1863,2221540,2022-01-27,Illinois,Rockford,2929 Charles St,Rockford East High School,0,0,0,0,3,,42.2713945,-89.093966
1864,2220825,2022-01-26,Tennessee,Kingsport,520 Myrtle St,Cora Cox Academy,0,0,0,0,1,,36.550238,-82.5594293
1865,2220806,2022-01-26,Kansas,Bonner Springs,100 McDanield St,Bonner Springs High School,0,0,0,0,1,,39.0597129,-94.8837597
1866,2220839,2022-01-26,Kentucky,Louisville,5901 Greenwood Rd,Pleasure Ridge Park High School,0,0,0,0,0,,38.2542376,-85.759407
1867,2224672,2022-01-25,South Dakota,Box Elder,420 Patriot Dr,Douglas High School,0,0,0,0,1,,44.1333654,-103.064514
1868,2219645,2022-01-25,Texas,Cibolo,1300 FM1103,Byron P Steele HS,0,0,0,0,0,,29.5707831,-98.2330927
1869,2220308,2022-01-25,Texas,San Antonio,7611 Marbach Rd,John Jay HS,0,0,0,0,0,,29.4246002,-98.4951405
1870,2221109,2022-01-25,New York,Brockport,350 New Campus Dr,SUNY Brockport,0,0,0,0,1,,43.213671,-77.93918
1871,2220206,2022-01-25,Florida,Moore Haven,700 Terrier Pride Rd,Moore Haven Middle-High School,0,0,0,0,1,,26.8331174,-81.0931234
1872,2220588,2022-01-24,Wisconsin,Middleton,2100 Bristol St,Middleton High School,0,0,0,0,0,,43.0962919,-89.5119565
